ANT1,19.83,5.50,0.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,14.85,15.88,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-10.02,-7.02,0.00,10uF,PERFECT_0402_0402
C10,12.75,11.45,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,17.15,13.23,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,14.15,15.30,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,13.05,13.02,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,7.58,13.53,180.00,4.7µF,PERFECT_0402_0402
C15,11.78,13.59,0.00,1.0µF,PERFECT_0402_0402
C16,8.45,12.34,90.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,6.85,15.19,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,-0.85,8.71,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,8.15,-13.06,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,16.75,11.66,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-7.02,-7.43,0.00,4.7uF/25V,PERFECT_0402_0402
C20,11.78,-5.89,180.00,4.7µF,PERFECT_0402_0402
C21,5.48,-3.50,180.00,4.7µF,PERFECT_0402_0402
C22,15.77,4.81,270.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,-8.90,14.70,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,-6.80,10.80,0.00,10uF,PERFECT_0402_0402
C25,-3.90,-0.40,270.00,22uF,PERFECT_0402_0402
C27,5.60,-5.00,180.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,10.99,-12.50,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,13.27,4.81,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-8.85,-12.50,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,0.01,-12.50,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,7.87,-10.50,90.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,-6.00,-0.10,0.00,22uF,PERFECT_0402_0402
C34,9.37,-9.80,180.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,0.00,7.30,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C38,11.39,-9.00,90.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C39,-19.52,11.87,270.00,10uF,PERFECT_0402_0402
C4,14.52,4.81,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,-19.17,15.10,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,-5.52,8.47,91.70,4.7uF,PERFECT_0402_0402
C5,6.15,11.36,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,-13.02,10.82,0.00,4.7µF,PERFECT_0402_0402
C7,10.45,16.19,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,10.35,15.14,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,16.75,15.99,0.00,820pF,NORDIC_NRF_3_RESC0201_L
D2,-3.62,-4.93,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,-14.46,14.17,0.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,-8.62,-2.93,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,-2.62,-8.93,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
DMG2305UX-7,-8.69,-9.87,0.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
EPD_C1,-12.62,9.15,180.00,1uF/50V,PERFECT_0402_0402
EPD_C10,-10.52,12.40,90.00,1uF/50V,PERFECT_0402_0402
EPD_C11,-13.62,-9.71,0.00,1uF/50V,PERFECT_0402_0402
EPD_C12,-12.22,-11.62,90.00,1uF/50V,PERFECT_0402_0402
EPD_C2,-13.82,4.06,0.00,1uF/50V,PERFECT_0402_0402
EPD_C5,-13.95,-0.17,0.00,0.1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C6,-1.12,-2.66,90.00,1uF/50V,PERFECT_0402_0402
EPD_C7,-18.22,13.43,90.00,1uF/50V,PERFECT_0402_0402
EPD_C8,-16.32,10.92,180.00,1uF/50V,PERFECT_0402_0402
EPD_C9,-19.92,8.91,90.00,1uF/50V,PERFECT_0402_0402
IC1,2.60,4.80,179.10,BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,2.28,-8.16,0.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,7.07,-0.56,90.00,BMA423,BMA423_BMA423
IC9,0.80,1.00,270.70,RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,-13.70,0.00,270.00,503480-2400,503480-2400_5034802400
J2,17.93,-4.60,90.00,TC2030-IDC,TC2030-IDC_TC2030IDC
J4,0.00,13.84,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,14.51,6.18,0.00,3.9nH,NORDIC_NRF_2_RESC0402_M
L2,8.47,10.84,0.00,10μH,NORDIC_NRF_2_RESC0402_M
L3,10.62,12.14,0.00,15nH,NORDIC_NRF_2_RESC0402_M
L5,-18.02,-10.83,90.00,68uH,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7,-3.50,2.70,90.00,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q3,-9.15,6.90,270.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,20.30,-11.30,0.00,3K3,CPF0201D7K68C1_0201
R18,-7.50,3.30,90.00,3K3,CPF0201D7K68C1_0201
R1_EP_DR,-12.30,7.30,270.00,0.47,ERA-1AEB3401C_0201
R1_USB,0.60,9.51,180.00,5K1,ERA-1AEB3401C_0201
R2,-3.00,5.70,0.00,0,CPF0201D7K68C1_0201
R2_EP_DR,-13.70,5.20,180.00,10K,ERA-1AEB3401C_0201
R2_USB,-7.85,16.18,270.00,5K1,ERA-1AEB3401C_0201
R3,10.01,-4.02,180.00,0,CPF0201D7K68C1_0201
R4,-0.80,4.30,270.00,0,CPF0201D7K68C1_0201
R5,-9.67,-12.32,180.00,10k,ERA-1AEB3401C_0201
R7,10.79,-11.82,180.00,10k,ERA-1AEB3401C_0201
R8,1.55,-12.22,180.00,10k,ERA-1AEB3401C_0201
R9,1.31,6.90,90.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,-10.61,-11.52,0.00,10K,ERA-1AEB3401C_0201
R_TYPE_SEL,-21.10,10.40,0.00,2.2,ERA-1AEB3401C_0201
SJ1,-9.50,0.82,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,11.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,0.00,-14.28,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-11.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,5.52,-14.68,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,-4.58,-11.68,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,18.53,14.67,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,15.51,-15.38,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,5.60,-11.48,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,5.90,-8.08,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,15.71,2.22,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,14.04,-11.58,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,7.63,-6.18,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,12.23,-1.93,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,17.50,-13.33,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,10.70,0.32,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,-16.11,-15.08,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,-11.05,15.22,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,8.70,6.40,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,1.80,-4.20,270.50,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,14.44,12.01,270.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,3.07,8.57,270.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
